[2025-04-23 19:25:51] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:25:51] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:26:14] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:26:21] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:26:21] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:26:25] eth:ethertype:ip:udp:dns 172.16.9.35: -> 208.67.220.220: | Possível SYN
[2025-04-23 19:26:25] eth:ethertype:ip:udp:dns 172.16.9.35: -> 208.67.220.220: | Possível SYN
[2025-04-23 19:26:25] eth:ethertype:ip:udp:dns 208.67.220.220: -> 172.16.9.35: | Possível SYN
[2025-04-23 19:26:25] eth:ethertype:ip:udp:dns 208.67.220.220: -> 172.16.9.35: | Possível SYN
[2025-04-23 19:26:39] eth:ethertype:ip:udp:mdns 172.16.1.171: -> 224.0.0.251: | Possível SCAN
[2025-04-23 19:26:44] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:26:44] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:26:51] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:26:51] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:26:58] eth:ethertype:ip:udp:mdns 172.16.8.128: -> 224.0.0.251: | Possível SCAN
[2025-04-23 19:26:59] eth:ethertype:ip:udp:mdns 172.16.8.128: -> 224.0.0.251: | Possível SCAN
[2025-04-23 19:27:00] eth:ethertype:ip:tcp 140.82.112.22:443 -> 172.16.9.35:42944 | Possível FIN
[2025-04-23 19:27:00] eth:ethertype:ip:tcp 172.16.9.35:42944 -> 140.82.112.22:443 | Possível FIN
[2025-04-23 19:27:14] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:27:14] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:27:21] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:27:21] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:27:31] eth:ethertype:ip:tcp 172.16.9.35:44808 -> 185.125.188.55:443 | Possível SYN
[2025-04-23 19:27:32] eth:ethertype:ip:tcp 185.125.188.55:443 -> 172.16.9.35:44808 | Possível SYN
